Title,RT Audience Freshness,RT Freshness,RT Audience Score,RT Score,IMDB Rating
Austin Powers: The Spy Who Shagged Me,71,51,66,60,66
Notting Hill,79,83,66,71,70
Star Wars Episode I: The Phantom Menace,60,57,66,58,66
Tarzan,74,88,64,76,72
The Matrix,85,87,72,76,87
The Mummy,75,55,68,57,70
The Sixth Sense,89,85,76,76,82
The World Is Not Enough,50,51,60,57,64
Toy Story 2,86,100,70,86,79
A Bug's Life,72,92,66,79,72
Armageddon,73,39,70,52,66
Deep Impact,43,48,58,58,61
Dr. Dolittle,35,43,56,53,53
Godzilla,28,16,50,40,53
Lethal Weapon 4,64,52,66,58,66
Mulan,84,86,68,75,75
Saving Private Ryan,95,93,80,86,86
Shakespeare in Love,80,92,68,83,72
There's Something About Mary,60,83,66,70,71
Air Force One,66,79,64,70,64
As Good as It Gets,87,86,70,72,78
Liar Liar,75,81,68,69,68
Men in Black,79,92,70,75,72
My Best Friend's Wedding,74,71,66,64,63
The Fifth Element,87,71,74,63,76
The Full Monty,79,95,66,76,72
The Lost World: Jurassic Park,52,52,64,56,65
Titanic,69,88,66,80,77
Tomorrow Never Dies,53,57,62,60,65
101 Dalmatians,40,38,58,53,56
Eraser,39,36,56,49,60
Independence Day,75,60,70,63,69
Jerry Maguire,79,85,66,74,73
Mission: Impossible,71,61,66,59,71
Ransom,62,75,62,66,66
The Hunchback of Notre Dame,69,73,62,71,69
The Nutty Professor,44,65,58,59,55
The Rock,86,66,72,66,74
Twister,58,57,64,60,62
Apollo 13,86,95,72,81,76
Batman Forever,33,41,58,52,54
Casper,49,44,60,48,60
Die Hard with a Vengeance,83,51,72,57,76
GoldenEye,83,82,68,69,72
Jumanji,61,50,64,56,68
Pocahontas,64,56,64,60,66
Seven,95,79,82,76,87
Toy Story,92,100,74,90,83
Waterworld,43,42,52,52,61
Clear and Present Danger,74,82,68,69,69
Dumb and Dumber,84,66,66,59,73
Forrest Gump,95,72,82,72,88
Four Weddings and a Funeral,74,95,64,76,71
Interview with the Vampire: The Vampire Chronicles,86,61,74,59,76
Speed,76,93,66,79,72
The Flintstones,24,21,50,37,48
The Lion King,93,90,80,82,85
The Mask,67,77,64,64,68
True Lies,76,72,64,66,72
Cliffhanger,51,69,56,62,63
Indecent Proposal,48,37,58,46,58
Jurassic Park,90,93,72,83,80
Mrs. Doubtfire,76,71,68,58,69
Philadelphia,89,78,74,66,77
Schindler's List,97,96,86,90,89
Sleepless in Seattle,75,72,66,65,68
The Firm,64,75,64,62,68
The Fugitive,89,96,72,79,78
The Pelican Brief,61,52,64,55,65
A Few Good Men,89,81,72,70,76
Aladdin,92,94,74,81,80
Basic Instinct,64,54,62,59,69
Batman Returns,73,80,66,67,70
Bram Stoker's Dracula,80,79,72,65,75
Home Alone 2: Lost in New York,61,24,60,36,65
Lethal Weapon 3,62,56,64,55,67
Sister Act,65,71,62,57,62
The Bodyguard,64,32,60,48,61
Wayne's World,85,85,68,68,70
Beauty and the Beast,92,93,74,84,80
Cape Fear,77,76,70,71,73
City Slickers,64,90,62,70,67
Hook,76,30,66,44,67
Hot Shots!,65,83,60,65,67
JFK,88,85,76,77,80
Robin Hood: Prince of Thieves,72,50,68,57,69
Terminator 2: Judgment Day,94,92,74,83,85
The Addams Family,66,60,64,56,68
The Silence of the Lambs,95,94,82,85,86
Back to the Future Part III,78,73,68,65,74
Dances with Wolves,87,82,72,75,80
Die Hard 2,70,69,70,61,71
Ghost,80,74,70,68,70
Home Alone,79,54,66,51,74
Kindergarten Cop,51,51,60,51,60
Presumed Innocent,66,85,68,74,69
Pretty Woman,68,62,70,57,69
Teenage Mutant Ninja Turtles,81,41,66,48,67
Total Recall,78,84,66,73,75
Back to the Future Part II,85,64,70,61,78
Batman,84,72,70,66,76
Born on the Fourth of July,76,90,68,74,72
Dead Poets Society,92,85,76,72,80
Ghostbusters II,61,51,64,52,65
"Honey, I Shrunk the Kids",53,75,58,62,62
Indiana Jones and the Last Crusade,94,88,80,79,83
Lethal Weapon 2,77,83,66,66,72
Look Who's Talking,47,58,58,50,58
The Little Mermaid,88,92,72,81,76
"""Crocodile"" Dundee II",38,11,54,35,55
Beetlejuice,82,81,70,70,74
Big,81,97,70,79,73
Cocktail,59,5,60,38,58
Coming to America,85,68,68,58,69
Die Hard,94,92,78,84,83
Rain Man,90,90,76,79,80
The Naked Gun: From the Files of Police Squad!,84,86,66,73,76
Twins,38,36,54,48,59
Who Framed Roger Rabbit,84,98,70,84,77
Beverly Hills Cop II,58,46,62,49,64
Fatal Attraction,71,78,66,67,69
"Good Morning, Vietnam",82,89,70,74,73
Lethal Weapon,85,84,72,71,76
Moonstruck,81,92,68,78,71
Stakeout,56,87,58,65,66
The Secret of My Success,58,58,60,54,64
The Untouchables,89,80,78,74,80
The Witches of Eastwick,62,73,64,62,65
Three Men and a Baby,47,74,58,59,58
"""Crocodile"" Dundee",58,89,60,67,65
Aliens,94,98,76,90,84
An American Tail,71,68,66,63,69
Back to School,68,84,60,70,65
Platoon,93,88,78,81,81
Ruthless People,70,94,64,70,68
Star Trek IV: The Voyage Home,81,85,70,69,73
The Golden Child,47,26,58,39,58
"The Karate Kid, Part II",52,43,60,49,58
Top Gun,84,54,70,58,68
Back to the Future,94,96,76,86,85
Cocoon,60,80,62,62,66
Out Of Africa,84,53,74,65,72
Rambo: First Blood Part II,60,28,62,41,64
Rocky IV,80,38,68,48,67
Spies Like Us,57,35,62,44,63
The Color Purple,94,88,78,69,78
The Goonies,91,68,76,61,78
The Jewel of the Nile,38,48,60,48,60
Witness,80,91,70,81,75
Beverly Hills Cop,81,83,68,71,73
Footloose,72,56,66,57,64
Ghostbusters,88,97,72,82,78
Gremlins,77,85,68,73,72
Indiana Jones and the Temple of Doom,81,84,76,72,76
Police Academy,64,41,64,45,66
Romancing the Stone,69,87,64,73,69
Star Trek III: The Search for Spock,61,78,66,64,66
The Karate Kid,81,90,66,69,72
The Terminator,88,100,72,87,81
Flashdance,62,33,62,47,61
Mr. Mom,57,85,60,61,64
Octopussy,48,42,62,52,66
Risky Business,72,96,64,75,68
Star Wars Episode VI: Return of the Jedi,95,79,80,68,84
Staying Alive,38,0,54,27,44
Sudden Impact,54,56,64,56,66
Terms of Endearment,84,88,74,75,74
Trading Places,85,88,70,72,75
WarGames,75,92,66,76,71
48 Hrs.,69,92,64,73,69
An Officer and a Gentleman,81,81,70,74,70
Annie,69,50,62,50,65
E.T. the Extra-Terrestrial,71,98,70,91,79
Poltergeist,78,88,68,72,74
Porky's,58,30,62,46,61
Rocky III,74,61,66,54,67
Star Trek II: The Wrath of Khan,90,90,76,79,77
The Best Little Whorehouse in Texas,69,56,64,51,57
Tootsie,81,88,68,77,74
Arthur,77,90,66,72,69
Chariots of Fire,81,84,72,77,72
For Your Eyes Only,64,73,66,63,68
On Golden Pond,87,92,74,76,77
Raiders of the Lost Ark,96,95,80,91,86
Stripes,80,88,70,66,69
Superman II,75,89,64,75,68
The Cannonball Run,62,31,62,42,61
The Four Seasons,75,75,70,61,72
Time Bandits,77,91,70,79,70
9 to 5,74,82,64,68,66
Airplane!,89,96,72,83,78
Any Which Way You Can,45,20,62,49,60
Coal Miner's Daughter,86,100,72,83,75
Private Benjamin,60,88,60,68,60
Smokey and the Bandit II,46,20,56,40,51
Star Wars Episode V: The Empire Strikes Back,97,96,82,87,88
Stir Crazy,77,67,68,61,68
The Blue Lagoon,54,11,58,27,57
The Blues Brothers,93,87,74,71,80
10,54,71,58,64,60
Alien,94,97,78,89,85
Apocalypse Now,94,99,82,89,85
Kramer vs. Kramer,89,88,74,78,78
Moonraker,43,62,60,57,62
Rocky II,81,72,68,64,71
Star Trek: The Motion Picture,42,45,62,57,64
The Amityville Horror,53,24,66,44,62
The Jerk,85,84,72,66,72
The Muppet Movie,88,89,70,78,77
Dawn of the Dead,90,95,72,86,80
Every Which Way but Loose,56,31,62,45,62
Grease,88,79,74,66,72
Heaven Can Wait,68,88,66,71,69
Hooper,62,63,62,53,62
Jaws 2,38,53,56,53,57
National Lampoon's Animal House,89,91,74,77,76
Revenge of the Pink Panther,70,82,66,66,67
Superman,86,93,70,80,73
The Deer Hunter,92,93,82,86,82
A Bridge Too Far,86,73,74,68,74
Annie Hall,93,98,78,89,81
Close Encounters of the Third Kind,85,96,74,88,77
"Oh, God!",59,71,64,61,65
Saturday Night Fever,72,90,64,75,68
Smokey and the Bandit,85,81,68,63,68
Star Wars,96,93,82,83,87
The Deep,38,36,58,47,61
The Goodbye Girl,84,87,76,65,74
The Spy Who Loved Me,76,78,68,68,71
A Star Is Born,71,31,70,53,65
All the President's Men,92,98,78,91,80
In Search of Noah's Ark,100,0,34,0,46
King Kong,30,46,56,47,58
Midway,71,54,72,59,67
Rocky,68,92,64,83,81
Silver Streak,72,88,68,65,69
The Enforcer,59,78,68,63,68
The Omen,80,86,70,71,76
To Fly!,75,0,80,0,70
"Aloha, Bobby and Rose",60,0,72,0,60
Dog Day Afternoon,90,97,80,85,81
Funny Lady,56,38,64,46,64
Shampoo,53,63,64,62,63
The Apple Dumpling Gang,60,56,64,62,62
The Other Side of the Mountain,77,0,72,0,64
The Return of the Pink Panther,82,89,68,67,71
Signs,67,74,64,68,67
